period,model,alpha,exceptions,alpha_hat,UC p-value,CC p-value,DQ p-value,GPL score,ES p-value,ES residual mean,LLF,CRLF,CFLF
Period I,GARCH,0.025,6,0.0238,0.9029,0.8569,0.5758,0.1022,0.0041,0.8468,6.7938,0.7545,262.322
Period I,EGARCH,0.025,6,0.0238,0.9029,0.8569,0.3271,0.103,0.0005,0.8172,6.6012,0.5483,261.516
Period I,GJR-GARCH,0.025,5,0.0198,0.5866,0.7792,0.4326,0.1034,0.7408,0.9828,6.8167,1.4569,264.9885
Period I,Historical Simulation,0.025,11,0.0437,0.0858,0.138,0.0,0.1286,0.0002,0.7557,25.1482,3.1814,264.7215
Period I,Original GARCHNet,0.025,23,0.0913,0.0,0.0,0.0,0.1559,0.0038,1.2414,67.786,11.7931,284.9408
Period I,GARCHNet++,0.025,20,0.0794,0.0,0.0,0.0,0.1619,0.0013,1.3206,66.0269,12.3063,281.2586
Period II,GARCHNet++,0.025,7,0.0278,0.7813,0.7871,0.0,0.093,0.6659,1.0306,16.5393,1.8748,253.8225
Period II,Original GARCHNet,0.025,10,0.0397,0.1684,0.2558,0.0014,0.1023,0.3423,1.1037,33.28,3.5893,259.7661
Period II,Historical Simulation,0.025,4,0.0159,0.3204,0.5721,0.0,0.1177,0.453,0.9124,15.9159,1.5389,254.4288
Period II,EGARCH,0.025,10,0.0397,0.1684,0.2558,0.0,0.1215,0.1,1.269,44.7273,6.7157,262.4561
Period II,GARCH,0.025,11,0.0437,0.0858,0.138,0.0,0.1221,0.14,1.252,48.282,7.1329,262.6651
Period II,GJR-GARCH,0.025,11,0.0437,0.0858,0.138,0.0,0.1245,0.0894,1.2808,47.5561,7.2637,262.6827
Period III,GJR-GARCH,0.025,4,0.0159,0.3204,0.5721,0.9784,0.0343,0.7836,1.0562,4.9803,1.4993,271.717
Period III,GARCH,0.025,4,0.0159,0.3204,0.5721,0.8957,0.0344,0.9159,0.9834,4.767,1.224,270.1163
Period III,EGARCH,0.025,6,0.0238,0.9029,0.8569,0.4576,0.035,0.7137,0.9517,6.9915,1.6201,271.408
Period III,GARCHNet++,0.025,3,0.0119,0.1387,0.3222,0.9318,0.0377,0.1595,1.0526,3.3958,0.8541,267.0636
Period III,Original GARCHNet,0.025,3,0.0119,0.1387,0.3222,0.9328,0.0387,0.5664,0.9601,3.2229,0.5148,265.2857
Period III,Historical Simulation,0.025,1,0.004,0.008,0.0296,0.5926,0.0443,,0.7586,1.0177,0.0803,261.9247
Period IV,Historical Simulation,0.025,20,0.0794,0.0,0.0,0.0,0.2534,0.0738,1.333,260.0682,21.6971,297.9356
Period IV,GARCHNet++,0.025,27,0.1071,0.0,0.0,0.0,0.2825,0.0007,1.8314,313.0167,33.3115,324.5187
Period IV,EGARCH,0.025,19,0.0754,0.0,0.0,0.0,0.292,0.0056,1.9488,304.4942,33.555,307.4054
Period IV,GARCH,0.025,19,0.0754,0.0,0.0,0.0,0.302,0.0034,2.1058,315.7834,37.226,312.8606
Period IV,GJR-GARCH,0.025,21,0.0833,0.0,0.0,0.0,0.3035,0.0023,1.9013,306.7636,33.8001,310.6216
Period IV,Original GARCHNet,0.025,33,0.131,0.0,0.0,0.0,0.3174,0.0001,1.9775,358.429,46.7926,352.3358
